org,total_repos,lenguajes
microsoft,208,"AL, Bicep, C, C#, C++, CMake, Dockerfile, GAP, Go, HCL, HTML, Java, JavaScript, Jupyter Notebook, Markdown, PowerShell, Python, R, RPM Spec, Rust, Shell, TeX, TypeScript"
Azure,104,"Bicep, C#, C++, Go, HCL, HTML, Java, Jupyter Notebook, PowerShell, Python, Rust, Shell, TypeScript, TypeSpec"
giantswarm,99,"Go, HTML, JavaScript, Makefile, Mustache, Python, Shell, Smarty, TypeScript"
opentelemetrybot,67,"C, C#, C++, Dockerfile, Elixir, Erlang, Go, Java, JavaScript, Makefile, Open Policy Agent, PHP, Python, Ruby, Rust, Shell, Smarty, Swift, TypeScript"
HyperCogWizard,55,"C, C++, Emacs Lisp, HTML, JavaScript, Julia, Lua, Makefile, Python, Rust, Scheme, Shell, TypeScript"
tscircuit,53,"HTML, JavaScript, TypeScript"
seanwevans,47,"Assembly, C, C#, C++, CSS, Cuda, Haskell, JavaScript, PLpgSQL, Perl, Python, Racket, Rust, TypeScript"
dotnet,43,"C#, C++, Dockerfile, F#, Jupyter Notebook, PowerShell, TypeScript"
raimonvibe,41,"C++, CSS, HTML, Java, JavaScript, Jupyter Notebook, Python, SCSS, TypeScript"
arran4,36,"C#, Dart, Go, HTML, JavaScript, Shell, TypeScript, Typst"
invokable,36,"Blade, PHP"
launchdarkly,36,"Brightscript, C#, C++, Dart, Erlang, Go, Java, Python, Rust, Shell, Swift, TypeScript"
Azure-Samples,33,"Bicep, C#, Java, JavaScript, Jupyter Notebook, PowerShell, Python, Shell, TypeScript"
danieleschmidt,33,"Python, Shell, TypeScript"
officialprakashkumarsingh,33,"Dart, Java, JavaScript, Kotlin, Python, TypeScript"
jhacksman,32,"C, C++, HTML, Java, JavaScript, Python, TypeScript"
getsentry,30,"C#, C++, Dart, Kotlin, MDX, PHP, PowerShell, Python, Rust, Swift, TypeScript"
hulala12345,30,"HTML, JavaScript, Python"
AsaTyr2018,29,"HTML, JavaScript, PHP, Python, ShaderLab, Shell"
Jherlil,28,"C, C++, Python"
agentevals-pro2,28,—
bbuchsbaum,28,"HTML, R, Shell"
COG-GTM,26,"COBOL, Java, JavaScript, Python, TypeScript"
nishio,26,"HTML, JavaScript, Python, TypeScript"
KingOfTheAce2,25,"C++, HTML, JavaScript, Python"
SwartzMss,25,"C, C++, Makefile, Python, Rust"
jianhuanggo,25,"Python, TypeScript"
leynos,25,"C, HTML, Jinja, Python, Rust"
goldmansachsinnovationcenter,23,"HTML, Java, Python, TypeScript"
Lightiam,22,"HTML, JavaScript, Jupyter Notebook, Python, TypeScript"
sanand0,22,"HTML, JavaScript, Python, Shell"
shefben,22,"Brightscript, C, C#, C++, Kotlin, PHP, Python"
Devin-July,21,"Python, TypeScript, Vue"
Irfan430,21,"EJS, HTML, JavaScript, Python, TypeScript"
LZeroAnalytics,21,"Go, JavaScript, Rust, Solidity, Starlark, TypeScript, Vue"
devin-org-demo,21,—
g-kari,21,"Go, HTML, JavaScript, PHP, Perl, Python, Shell, TypeScript"
meistro57,21,"Cython, HTML, JavaScript, Python, Shell"
sounny,21,"CSS, HTML, JavaScript, Monkey C, Python"
CrazyDubya,20,"JavaScript, Jupyter Notebook, PHP, Python, Swift, TypeScript"
adrianwedd,20,"JavaScript, Python, Rust, Shell, TypeScript"
brookcs3,20,"Astro, JavaScript, PHP, Python, Swift, TypeScript"
darbotlabs,20,"C#, C++, Jupyter Notebook, PowerShell, Python, TypeScript"
nczempin,20,"C, C++, HTML, Java, Lua, Python"
you112ef,20,"Batchfile, JavaScript, Kotlin, Python, TypeScript"
Brownster,19,"C, C#, Go, HTML, JavaScript, Python, TypeScript"
OzCog,19,"Assembly, C, C++, LLVM, Python, Scheme, TypeScript"
fingerskier,19,"GDScript, JavaScript, TypeScript"
DO1FFE,18,"HTML, Python"
EchoCog,18,"C, JavaScript, OpenEdge ABL, Python, TypeScript"
stix26,18,"Assembly, C++, Go, HTML, JavaScript, Jupyter Notebook, Python, Rust, TypeScript"
Cstannahill,17,"Go, MDX, Python, Rust, TypeScript"
cagecorn,17,"HTML, JavaScript"
fonso7354,17,Python
futurediffusion,17,"Batchfile, Python, Ren'Py, TypeScript, mcfunction"
inverted-capital,17,TypeScript
jmbish04,17,"JavaScript, TypeScript"
juniorrrrr345,17,"HTML, JavaScript, TypeScript"
GlacierEQ,16,"Go, JavaScript, Python, Shell, TypeScript"
JackSmack1971,16,"JavaScript, Python, Shell, TypeScript"
Kwameldx666,16,"C#, JavaScript, Python, TSQL"
Lochinvar-Camporal,16,"Python, Rust"
SiwaNetwork,16,"C, C++, Go, HTML, Python, VHDL"
agentuity,16,"Go, MDX, Python, TypeScript"
github,16,"C#, CodeQL, Go, JavaScript, Python, Ruby, TypeScript"
lynnswap,16,Swift
petems,16,"C#, CSS, Go, JavaScript, Ruby, SCSS, Shell, TypeScript"
sonu84it,16,"HTML, JavaScript, Python"
stephenszpak,16,"C#, Elixir, GDScript, Python, Ruby, Swift, Vim Script"
DarkBoow,15,"Java, TypeScript"
Girish-Krishnan,15,"C++, Cuda, Go, HTML, Jupyter Notebook, Python, Rust"
LIN0304,15,"HTML, JavaScript, Python, Solidity, TypeScript"
Narion2025,15,"HTML, JavaScript, Python, TypeScript"
NikolasNeofytou,15,"HTML, JavaScript, Python"
alialsaffarcodexals,15,Go
b-vitamins,15,"Emacs Lisp, Org, Python, Rust, Scheme, Shell, YASnippet"
baricev,15,"Go, Jupyter Notebook, Python, Shell"
jgwill,15,"HTML, Python, Shell, TypeScript"
nkbud,15,"Go, HTML, JavaScript, Python, Shell, TypeScript"
rebots-online,15,"HTML, JavaScript, Python, TypeScript"
